Source	Dests
Riverside-San Bernardino-Ontario, CA Metro Area	Bakersfield, CA Metro Area+Las Vegas-Henderson-Paradise, NV Metro Area+Los Angeles-Long Beach-Anaheim, CA Metro Area+Phoenix-Mesa-Scottsdale, AZ Metro Area+San Diego-Carlsbad, CA Metro Area
Roanoke, VA Metro Area	
Rochester, MN Metro Area	
Rochester, NY Metro Area	New York-Newark-Jersey City, NY-NJ-PA Metro Area
Rockford, IL Metro Area	
Rocky Mount, NC Metro Area	
Rome, GA Metro Area	
Sacramento--Roseville--Arden-Arcade, CA Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area+San Francisco-Oakland-Hayward, CA Metro Area
Saginaw, MI Metro Area	
Salem, OR Metro Area	Portland-Vancouver-Hillsboro, OR-WA Metro Area
Salinas, CA Metro Area	
Salisbury, MD-DE Metro Area	
Salt Lake City, UT Metro Area	Ogden-Clearfield, UT Metro Area+Provo-Orem, UT Metro Area
San Angelo, TX Metro Area	
San Antonio-New Braunfels, TX Metro Area	Austin-Round Rock, TX Metro Area+Dallas-Fort Worth-Arlington, TX Metro Area+Houston-The Woodlands-Sugar Land, TX Metro Area
San Diego-Carlsbad, CA Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area+Riverside-San Bernardino-Ontario, CA Metro Area+San Francisco-Oakland-Hayward, CA Metro Area
San Francisco-Oakland-Hayward, CA Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Sacramento--Roseville--Arden-Arcade, CA Metro Area+San Jose-Sunnyvale-Santa Clara, CA Metro Area+Santa Rosa, CA Metro Area+Seattle-Tacoma-Bellevue, WA Metro Area+Stockton-Lodi, CA Metro Area+Vallejo-Fairfield, CA Metro Area
San Germán, PR Metro Area	
San Jose-Sunnyvale-Santa Clara, CA Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area+Sacramento--Roseville--Arden-Arcade, CA Metro Area+San Francisco-Oakland-Hayward, CA Metro Area
San Juan-Carolina-Caguas, PR Metro Area	Orlando-Kissimmee-Sanford, FL Metro Area
San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area	
Santa Cruz-Watsonville, CA Metro Area	
Santa Fe, NM Metro Area	
