ID	Source	SOURCE_coord	Dest	DEST_coord  count
124	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	21789
125	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	York-Hanover, PA Metro Area	 39.962398,-76.727392	3166
126	Bangor, ME Metro Area	 44.8016,-68.7712	Portland-South Portland, ME Metro Area	 43.6591,-70.2568	1115
127	Barnstable Town, MA Metro Area	 41.278228,-73.600649	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	4067
128	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	1084
129	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	Hammond, LA Metro Area	 41.5833658,-87.500043	1841
130	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	2054
131	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	Lafayette, LA Metro Area	 30.2240897,-92.0198427	1617
132	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	3996
133	Battle Creek, MI Metro Area	 42.3192548,-85.1824269	Kalamazoo-Portage, MI Metro Area	 42.291707,-85.5872286	1413
134	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	1157
135	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4301
136	Bellingham, WA Metro Area	 48.7544012,-122.4788361	Mount Vernon-Anacortes, WA Metro Area	 48.4200462,-122.32642	1045
137	Bellingham, WA Metro Area	 48.7544012,-122.4788361	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	3091
138	Bend-Redmond, OR Metro Area	 44.0581728,-121.3153096	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	1215
139	Binghamton, NY Metro Area	 42.096968,-75.914341	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	1066
140	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	1997
141	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Auburn-Opelika, AL Metro Area	 41.4767352,-81.1443658	1647
142	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Huntsville, AL Metro Area	 33.561968,-86.798814	1702
143	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Montgomery, AL Metro Area	 40.85239,-78.266098	2167
144	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Tuscaloosa, AL Metro Area	 33.490251,-86.859181	3243
145	Bismarck, ND Metro Area	 46.808327,-100.783739	Fargo, ND-MN Metro Area	 46.877229,-96.789821	1070
146	Blacksburg-Christiansburg-Radford, VA Metro Area	 37.2296566,-80.4136767	Roanoke, VA Metro Area	 37.2738215,-79.9602021478478	1370
147	Blacksburg-Christiansburg-Radford, VA Metro Area	 37.2296566,-80.4136767	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	2024
148	Bloomington, IL Metro Area	 40.4731073,-88.9941403	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	1839
149	Bloomington, IL Metro Area	 40.4731073,-88.9941403	Peoria, IL Metro Area	 40.6938609,-89.5891008	1268
150	Bloomington, IN Metro Area	 39.1670396,-86.5342881	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	1019
151	Bloomington, IN Metro Area	 39.1670396,-86.5342881	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	2477
152	Boise City, ID Metro Area	 43.60081625,-116.242110153775	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	1273
153	Boise City, ID Metro Area	 43.60081625,-116.242110153775	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	1252
154	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	1632
155	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	1136
156	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Barnstable Town, MA Metro Area	 41.278228,-73.600649	2788
157	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	1115
158	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Burlington-South Burlington, VT Metro Area	 44.4762975,-73.2135472	1130
159	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	2459
