ID	Source	SOURCE_coord	Dest	DEST_coord
67	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	8974
68	Duluth, MN-WI Metro Area	 46.7729322,-92.1251218	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	4192
69	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Raleigh, NC Metro Area	 35.7803977,-78.6390989	5806
70	Eugene, OR Metro Area	 44.0505054,-123.0950506	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4148
71	Flint, MI Metro Area	 43.0171773,-83.7236024	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	5136
72	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4011
73	Greeley, CO Metro Area	 38.4570355,-101.8185007	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4803
74	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Winston-Salem, NC Metro Area	 36.0999,-80.2442	4629
75	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Spartanburg, SC Metro Area	 34.9498007,-81.9320157	4134
76	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	5752
77	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	13212
78	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	4315
79	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	7098
80	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	14093
81	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	8508
82	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Bloomington, IN Metro Area	 39.1670396,-86.5342881	5521
83	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Muncie, IN Metro Area	 40.1936683,-85.3865114	4162
84	Lakeland-Winter Haven, FL Metro Area	 28.0470734,-81.9539892	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	7347
85	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	7533
86	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	11749
87	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4382
88	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	7834
89	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Fresno, CA Metro Area	 36.7295295,-119.708861260756	4621
90	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4942
91	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	15264
92	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	9486
93	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Oxnard-Thousand Oaks-Ventura, CA Metro Area	 34.1976308,-119.1803818	10835
94	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	9908
95	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4276
96	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	83445
97	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	7423
98	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	17228
99	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	17046
100	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	5924
101	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Santa Maria-Santa Barbara, CA Metro Area	 34.9531295,-120.4358577	5208
102	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	6964
103	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	4420
104	Manchester-Nashua, NH Metro Area	 42.9956397,-71.4547891	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	6534
105	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	6751
106	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Cape Coral-Fort Myers, FL Metro Area	 26.6059432,-81.9806771	4090
107	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Gainesville, FL Metro Area	 29.67357765,-82.3233746019217	4613
108	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Jacksonville, FL Metro Area	 30.3321838,-81.655651	5404
109	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	9979
110	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	13499
111	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Port St. Lucie, FL Metro Area	 27.2939333,-80.3503283	6804
112	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Tallahassee, FL Metro Area	 30.4380832,-84.2809332	5097
113	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	7403
114	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	Madison, WI Metro Area	 43.074761,-89.3837613	4343
115	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	Duluth, MN-WI Metro Area	 46.7729322,-92.1251218	5059
116	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	St. Cloud, MN Metro Area	 45.5616075,-94.1642004	7697
117	Naples-Immokalee-Marco Island, FL Metro Area	 26.1421976,-81.7942944	Cape Coral-Fort Myers, FL Metro Area	 26.6059432,-81.9806771	4038
118	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	4476
119	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	7182
120	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	6429
121	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	9878
122	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Allentown-Bethlehem-Easton, PA-NJ Metro Area	 40.6022059,-75.4712794	9289
123	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	11073
124	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	7262
125	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Binghamton, NY Metro Area	 42.096968,-75.914341	4124
126	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	14779
127	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	12488
128	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	 42.8867166,-78.8783922	5051
129	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	6989
130	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	7153
131	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	5911
132	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	4511
133	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	5934
134	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Kingston, NY Metro Area	 41.9287812,-74.0023702	4860
135	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	13816
136	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	23221
137	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	10986
138	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	27934
139	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	5153
140	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Providence-Warwick, RI-MA Metro Area	 41.8240,-71.4128	4860
141	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Rochester, NY Metro Area	 43.1854754,-77.6106861508176	5231
142	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	8361
143	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Scranton--Wilkes-Barre--Hazleton, PA Metro Area	 41.4086874,-75.6621294	4167
144	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Syracuse, NY Metro Area	 43.0481221,-76.1474244	4581
145	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	8279
146	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Trenton, NJ Metro Area	 40.2170575,-74.7429463	10268
147	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	16307
148	Ogden-Clearfield, UT Metro Area	 41.2230048,-111.9738429	Salt Lake City, UT Metro Area	 40.7670126,-111.8904308	6504
149	Olympia-Tumwater, WA Metro Area	 47.0451022,-122.8950075	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	4322
150	Omaha-Council Bluffs, NE-IA Metro Area	 41.2587317,-95.9378732	Lincoln, NE Metro Area	 40.8,-96.667821	4438
151	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	6959
152	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	Lakeland-Winter Haven, FL Metro Area	 28.0470734,-81.9539892	5924
153	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	9947
154	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	6151
