Location	Coordinates
Madera, CA Metro Area 	 37.1716264,-119.7737991
Owensboro, KY Metro Area 	 37.7742152,-87.1133304
St. Cloud, MN Metro Area 	 45.5616075,-94.1642004
Appleton, WI Metro Area 	 44.2611337,-88.4067604
Danville, IL Metro Area 	 40.125222,-87.6304614
Dubuque, IA Metro Area 	 42.5006217,-90.6647967
Eau Claire, WI Metro Area 	 44.811349,-91.4984941
Oshkosh-Neenah, WI Metro Area 	 44.0206919,-88.5408574
Rochester, MN Metro Area 	 44.0234387,-92.4630182
Sioux City, IA-NE-SD Metro Area 	 42.4966815,-96.4058782
Waterloo-Cedar Falls, IA Metro Area 	 42.4979693,-92.3329637
Wausau, WI Metro Area 	 44.9596017,-89.6298239
Albany, GA Metro Area 	 31.5785,-84.1557
Bangor, ME Metro Area 	 44.8016,-68.7712
El Centro, CA Metro Area 	 32.7920,-115.5631
Greenville, NC Metro Area 	 35.612661,-77.3663538
Idaho Falls, ID Metro Area 	 43.4935245,-112.0400919
Janesville-Beloit, WI Metro Area 	 42.6829765,-89.0226793
Lewiston, ID-WA Metro Area 	 46.4165506,-117.0176569
Rome, GA Metro Area 	 34.257038,-85.1646726
Ames, IA Metro Area 	 42.0267703,-93.6170554
Battle Creek, MI Metro Area 	 42.3192548,-85.1824269
Burlington, NC Metro Area 	 36.0956918,-79.4377991
Hickory-Lenoir-Morganton, NC Metro Area 	 35.7333312,-81.3442915
Kankakee, IL Metro Area 	 41.1200325,-87.8611531
Muskegon, MI Metro Area 	 43.2341813,-86.2483921
Tuscaloosa, AL Metro Area 	 33.490251,-86.859181
Bowling Green, KY Metro Area 	 36.9903199,-86.4436018
Daphne-Fairhope-Foley, AL Metro Area 	 30.6035255,-87.9036047
Decatur, AL Metro Area 	 40.855019,-78.269096
Gadsden, AL Metro Area 	 33.565356,-86.783621
Mobile, AL Metro Area 	 39.092585,-84.853229
Kingsport-Bristol-Bristol, TN-VA Metro Area 	 36.550238,-82.5594293
Rocky Mount, NC Metro Area 	 35.9423833,-77.7956949
Columbus, IN Metro Area 	 39.730727,-82.604837
Hot Springs, AR Metro Area 	 34.5037,-93.0552
Jackson, TN Metro Area 	 35.6144446,-88.8177418
Kahului-Wailuku-Lahaina, HI Metro Area 	 20.8894101,-156.4727118
Laredo, TX Metro Area 	 27.5199841,-99.4953764
Wenatchee, WA Metro Area 	 47.4234599,-120.3103494
Cumberland, MD-WV Metro Area 	 39.6528509,-78.7624714
St. George, UT Metro Area 	 37.104153,-113.5841313
St. Joseph, MO-KS Metro Area 	 39.7686055,-94.8466322
