ID	Source	SOURCE_coord	Dest	DEST_coord	count
95	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	4522
96	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Davenport-Moline-Rock Island, IA-IL Metro Area	 41.5236436,-90.5776368	2112
97	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	3544
98	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	3105
99	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	2018
100	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	5858
101	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	6095
102	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Iowa City, IA Metro Area	 41.6612561,-91.5299106	2099
103	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Kankakee, IL Metro Area	 41.1200325,-87.8611531	2576
104	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Lafayette-West Lafayette, IN Metro Area	 40.4167022,-86.8752869	2661
105	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	2193
106	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	6436
107	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Madison, WI Metro Area	 43.074761,-89.3837613	3439
108	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	2648
109	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Michigan City-La Porte, IN Metro Area	 41.7075394,-86.8950297	2933
110	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	6936
111	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	4855
112	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	 36.1622296,-86.7743531	2130
113	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	6225
114	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	2026
115	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	6216
116	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Racine, WI Metro Area	 42.7260523,-87.7825242	2080
117	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Rockford, IL Metro Area	 42.2713945,-89.093966	3941
118	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	2662
119	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	3364
120	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	2832
121	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	St. Louis, MO-IL Metro Area	 38.6268039,-90.1994097	5100
122	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	3397
123	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	2457
124	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	3926
125	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	2058
