msa,pcpi
"Stockton-Lodi, CA","39,835"
"Sumter, SC","35,468"
"Syracuse, NY","44,504"
"Tallahassee, FL","38,314"
"Tampa-St. Petersburg-Clearwater, FL","43,419"
"Terre Haute, IN","34,573"
"Texarkana, TX-AR","35,199"
"The Villages, FL","40,316"
"Toledo, OH","42,766"
"Topeka, KS","41,629"
"Trenton, NJ","62,674"
"Tucson, AZ","39,177"
"Tulsa, OK","54,222"
"Tuscaloosa, AL","35,308"
"Twin Falls, ID","36,863"
"Tyler, TX","47,519"
"Urban Honolulu, HI","53,027"
"Utica-Rome, NY","39,499"
"Valdosta, GA","32,904"
"Vallejo-Fairfield, CA","44,979"
"Victoria, TX","44,671"
"Vineland-Bridgeton, NJ","36,814"
"Virginia Beach-Norfolk-Newport News, VA-NC","46,650"
"Visalia-Porterville, CA","37,300"
"Waco, TX","37,191"
"Walla Walla, WA","41,938"
"Warner Robins, GA","38,180"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","65,830"
"Waterloo-Cedar Falls, IA","41,966"
"Watertown-Fort Drum, NY","43,311"
"Wausau, WI","44,866"
"Weirton-Steubenville, WV-OH","36,488"
"Wenatchee, WA","43,876"
"Wheeling, WV-OH","40,265"
"Wichita, KS","47,132"
"Wichita Falls, TX","40,990"
"Williamsport, PA","40,394"
"Wilmington, NC","40,436"
"Winchester, VA-WV","43,185"
"Winston-Salem, NC","41,154"
"Worcester, MA-CT","50,395"
"Yakima, WA","39,233"
"York-Hanover, PA","44,687"
"Youngstown-Warren-Boardman, OH-PA","38,976"
"Yuba City, CA","39,719"
"Yuma, AZ","31,847"
